artist,album,genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Less+Than+Jake,Hello Rockview,ska,Theme Song For H Street,0.496,0.944,-5.253,0.127,0.00217,3.53E-06,0.0877,0.78,112.146
Less+Than+Jake,Hello Rockview,ska,Danny Says,0.556,0.949,-5.373,0.0627,0.00554,4.09E-05,0.0881,0.709,114.003
Pink Floyd,The Dark Side of the Moon,classic rock,Any Colour You Like,0.277,0.672,-12.582,0.0901,0.197,0.935,0.423,0.506,150.588
No+Doubt,Tragic Kingdom,ska,You Can Do It,0.628,0.857,-5.269,0.0455,0.217,0,0.0663,0.927,125.912
The+Beatles,Let It Be (Remastered),classic rock,Let It Be - Remastered,0.443,0.403,-8.339,0.0322,0.631,0,0.111,0.418,143.462
Ed+Sheeran,÷ (Deluxe),pop,Perfect,0.599,0.448,-6.312,0.0232,0.163,0,0.106,0.167,95.05
Ed+Sheeran,÷ (Deluxe),pop,Shape of You,0.825,0.652,-3.183,0.0802,0.581,0,0.0931,0.933,95.977
Ed+Sheeran,÷ (Deluxe),pop,How Would You Feel (Paean),0.617,0.439,-5.63,0.0269,0.424,0,0.127,0.261,139.979
Fleetwood+Mac,Rumours (Deluxe),classic rock,The Chain - Live,0.347,0.889,-7.252,0.0818,0.0177,0.0742,0.976,0.289,155.539
Ed+Sheeran,÷ (Deluxe),pop,Galway Girl,0.624,0.876,-3.374,0.1,0.0735,0,0.327,0.767,99.943
Streetlight+Manifesto,Everything Goes Numb,ska,That'll Be the Day,0.581,0.933,-5.219,0.0953,0.0125,0,0.195,0.735,146.927
Ed+Sheeran,÷ (Deluxe),pop,Happier,0.522,0.385,-7.355,0.0288,0.536,0,0.135,0.23,89.792
Pink Floyd,The Dark Side of the Moon,classic rock,On the Run,0.388,0.563,-21.192,0.0628,0.65,0.902,0.104,0.134,165.393
Childish+Gambino,"""Awaken, My Love!""",hip hop,Boogieman,0.714,0.774,-7.923,0.0957,0.0986,0.178,0.214,0.635,87.988
Less+Than+Jake,Hello Rockview,ska,History Of A Boring Town,0.541,0.943,-4.27,0.0552,0.0323,0,0.0911,0.779,107.313
Doomtree,No Kings,hip hop,Fresh New Trash,0.468,0.723,-5.739,0.0609,0.0125,0,0.358,0.654,177.663
